Average Rates of Returns Calculator,,,,,,,
,,,,,,,
,,,,,,,
Date,Adj Close,HPR,,,Summary,,
12/1/2020,181.179993,,,,Average Mean Return,,
1/1/2021,168.169998,-7%,,,Geometric Mean Return,,
2/1/2021,189.039993,12%,,,,,
3/1/2021,184.520004,-2%,,,,,
4/1/2021,186.020004,1%,,,,,
5/1/2021,178.649994,-4%,,,,,
6/1/2021,175.770004,-2%,,,,,
7/1/2021,176.020004,0%,,,,,
8/1/2021,181.300003,3%,,,,,
9/1/2021,169.169998,-7%,,,,,
10/1/2021,169.070007,0%,,,,,
11/1/2021,144.899994,-14%,,,,,
12/1/2021,154.889999,7%,,,,,
1/1/2022,142.970001,-8%,,,,,
2/1/2022,148.460007,4%,,,,,
3/1/2022,137.160004,-8%,,,,,
4/1/2022,111.629997,-19%,,,,,
5/1/2022,110.440002,-1%,,,,,
6/1/2022,94.400002,-15%,,,,,
7/1/2022,106.099998,12%,,,,,
8/1/2022,112.080002,6%,,,,,
9/1/2022,94.330002,-16%,,,,,
10/1/2022,106.540001,13%,,,,,
11/1/2022,97.870003,-8%,,,,,
12/1/2022,86.879997,-11%,,,,,
1/1/2023,108.489998,25%,,,,,
2/1/2023,99.610001,-8%,,,,,
3/1/2023,100.129997,1%,,,,,
4/1/2023,102.5,2%,,,,,
5/1/2023,87.959999,-14%,,,,,
6/1/2023,89.279999,2%,,,,,
7/1/2023,88.889999,0%,,,,,
8/1/2023,83.68,-6%,,,,,
9/1/2023,81.050003,-3%,,,,,
10/1/2023,81.589996,1%,,,,,
11/1/2023,93.93,15%,,,,,
